red,green,blue
13.890210665880966,9.558540807307013,8.963759575721863
12.909748821449616,8.988122421921037,8.071983647613436
11.827637006482027,8.493462728344136,7.885422804949911
11.17902916912198,8.009373158515027,7.414849734826164
10.45604375368297,7.579625810253388,6.466705951679434
9.4654721567472,7.176009133765469,6.512116971125516
9.172270919269298,6.822296700058928,5.619751767825575
8.588004566882734,6.47355627578079,6.009612551561579
8.195602533883324,6.224513847967001,4.8873011196228635
7.340766794342958,6.328318355922216,5.594744401885681
7.56833750736594,6.971291249263406,5.323990866234531
7.362164849734826,6.48882218621096,3.880634944018857
6.498839864466706,6.038026664702416,4.948217442545669
7.873084855627578,5.994622863877431,4.104467442545669
28.618186505598114,20.319755450795522,17.88777990571597
